id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28628350,"Zoia The Hill 4, by JJ Hospitality",55670751,Jj,,ΛΥΚΑΒΗΤΤΟΣ,37.98622,23.74669,Entire home/apt,62,1,3,2019-04-08,0.51,42,329
28628351,"Zoia The Hill 2, by JJ Hospitality",55670751,Jj,,ΛΥΚΑΒΗΤΤΟΣ,37.98506,23.74469,Entire home/apt,52,1,19,2019-04-08,2.91,42,318
28628511,"Zoia The Hill 6, by JJ Hospitality",55670751,Jj,,ΛΥΚΑΒΗΤΤΟΣ,37.98581,23.74604,Entire home/apt,67,1,0,,,42,318
28628559,"Zoia The Hill 3, by JJ Hospitality",55670751,Jj,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98653,23.74544,Entire home/apt,52,1,2,2019-03-20,0.31,42,333
28630368,Quiet lovely room-centre of Athens (near Exarchia),209855659,Joanna,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98853,23.74671,Private room,38,1,3,2019-02-24,0.56,3,29
28632085,Cosy Room,216060408,NIki Athens Hotel,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97489,23.73227,Private room,140,1,1,2018-11-11,0.19,4,153
28632975,Twin room,216071101,Reservations,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97451,23.73347,Private room,100,1,0,,,5,364
28633261,Fix divine apartment,91843746,Κοσμας Ειρηνη,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96126,23.72453,Entire home/apt,50,2,1,2018-09-30,0.15,2,335
28634342,Stylish Neoclassical Apartments - 3 min from Metro,215496598,Angela,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98146,23.72701,Entire home/apt,160,1,1,2018-10-19,0.17,3,198
28634894,Hippy chic 1BR apartment in the center of Athens,110974559,Dimitris,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99752,23.73149,Entire home/apt,35,1,24,2019-03-23,3.56,5,142
28639109,10Modern hostel 1single bed Acropolis/metro50m,191429691,George And Emilios,,ΚΕΡΑΜΕΙΚΟΣ,37.98064,23.71244,Shared room,16,1,8,2019-04-09,1.21,12,333
28639286,11Modern hostel 1single bed Acropolis/metro 50m,191429691,George And Emilios,,ΒΟΤΑΝΙΚΟΣ,37.98089,23.71155,Shared room,11,1,14,2019-04-09,2.08,12,343
28647043,"Квартира, Athina",215476859,Александр,,ΚΟΛΩΝΟΣ,38.00101,23.7163,Entire home/apt,42,2,2,2018-10-01,0.30,1,70
28649571,"Zoia The Hill 8, by JJ Hospitality",55670751,Jj,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98669,23.74522,Entire home/apt,103,1,5,2019-04-07,2.68,42,324
28649572,"Zoia The Hill 5, by JJ Hospitality",55670751,Jj,,ΛΥΚΑΒΗΤΤΟΣ,37.98534,23.74476,Entire home/apt,52,1,0,,,42,319
28649952,"Koukaki Luxury Penthouse with views - ""Monet"" Room",76094315,George,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96262,23.72065,Private room,35,1,11,2019-04-11,1.63,2,307
28652283,Διαμέρισμα Σε Athina,216194485,Μαρια,,ΠΑΤΗΣΙΑ,38.01322,23.73338,Entire home/apt,50,1,0,,,1,180
28652592,Spyros' cozy place,212461852,Spyros,,ΓΟΥΔΙ,37.98307,23.76074,Entire home/apt,30,2,10,2019-01-20,1.54,1,153
28653994,Clever and comfortable in Athens,129845105,Minka,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99333,23.72373,Entire home/apt,25,3,7,2018-12-05,1.08,1,143
28655005,pangerati屋,216210191,伟,,ΠΑΓΚΡΑΤΙ,37.96708,23.74741,Entire home/apt,127,1,0,,,1,0
28658061,2 bedroom apartment near the Metro,1621474,Eazybnb Team,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99125,23.76225,Entire home/apt,52,2,4,2019-03-09,0.63,68,349
28658067,Athens - City Center - Ultracareapartment#1,201738738,Your.Rentals,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99051,23.76415,Entire home/apt,58,1,0,,,4,329
28659427,Gazi square apartment above Metro center of Athens,216242835,Panagiotis,,ΚΕΡΑΜΕΙΚΟΣ,37.97937,23.71108,Entire home/apt,59,1,4,2019-03-29,0.62,1,85
28663526,Urban Room,216060408,NIki Athens Hotel,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97457,23.73214,Private room,119,1,0,,,4,153
